sido_sgg,locatadd_nm,avg_area,avg_price
11680,서울특별시 강남구,89.10280181303115,2767.729737932013
11740,서울특별시 강동구,70.20840709716722,1460.3020414484172
11305,서울특별시 강북구,71.09438354725788,872.5308269738366
11500,서울특별시 강서구,70.92007963917526,1165.2546138162584
11620,서울특별시 관악구,73.49634320220842,1028.1993262145875
11215,서울특별시 광진구,75.62386367041198,1561.2545270841674
11530,서울특별시 구로구,70.90375341586427,950.7362555413548
11545,서울특별시 금천구,70.33629368863954,903.0410382624669
11350,서울특별시 노원구,64.0616661,964.6798836525678
11320,서울특별시 도봉구,70.6501422646478,784.991065397796
11230,서울특별시 동대문구,69.83749625806452,1167.7599567282396
11590,서울특별시 동작구,78.3040017047817,1491.8621444635255
11440,서울특별시 마포구,76.65587687233217,1705.5069753315265
11410,서울특별시 서대문구,72.35963474025974,1284.9265045735883
11650,서울특별시 서초구,92.30728809928596,2796.9996784128343
11200,서울특별시 성동구,77.74542720887246,1840.2915989149203
11290,서울특별시 성북구,74.6460070041609,1082.0298137614327
11710,서울특별시 송파구,83.94003818785579,2046.3321441265766
11470,서울특별시 양천구,79.45480008100445,1511.028646055747
11560,서울특별시 영등포구,77.78640298141003,1505.888355243652
11170,서울특별시 용산구,98.33578249516441,2256.4434523122495
11380,서울특별시 은평구,71.75310235470941,1096.1480925948333
11110,서울특별시 종로구,79.01220997679813,1421.1893915188969
11140,서울특별시 중구,74.54326157635468,1444.1792603822278
11260,서울특별시 중랑구,69.29767859060402,913.9993209768772
